iter	Passed	Remaining
733	1139	412
734	1140	411
735	1142	409
736	1143	408
737	1144	406
738	1145	404
739	1146	402
740	1147	401
741	1149	399
742	1150	397
743	1151	396
744	1152	394
745	1153	392
746	1154	390
747	1155	389
748	1159	388
749	1160	386
750	1161	385
751	1162	383
752	1164	381
753	1165	380
754	1166	378
755	1167	376
756	1168	375
757	1169	373
758	1171	372
759	1173	370
760	1174	368
761	1175	367
762	1176	365
763	1178	363
764	1179	362
765	1180	360
766	1181	358
767	1182	357
768	1182	355
769	1184	353
770	1186	352
771	1188	350
772	1189	349
773	1190	347
774	1191	346
775	1192	344
776	1193	342
777	1194	340
778	1195	339
779	1196	337
780	1197	335
781	1198	334
782	1199	332
783	1203	331
784	1204	329
785	1205	328
786	1206	326
787	1207	324
788	1208	323
789	1209	321
790	1210	319
791	1211	318
792	1212	316
793	1213	314
794	1215	313
795	1217	312
796	1218	310
797	1219	308
798	1220	307
799	1221	305
800	1222	303
801	1223	302
802	1224	300
803	1225	298
804	1226	297
805	1227	295
806	1228	293
807	1229	292
808	1232	290
809	1233	289
810	1234	287
811	1235	286
812	1236	284
813	1237	282
814	1238	281
815	1239	279
816	1240	277
817	1241	276
818	1242	274
819	1242	272
820	1244	271
821	1245	269
822	1247	268
823	1248	266
824	1249	265
825	1250	263
826	1251	261
827	1252	260
828	1253	258
829	1254	256
830	1255	255
831	1256	253
832	1257	252
833	1258	250
834	1259	248
835	1261	247
836	1262	245
837	1263	244
838	1264	242
839	1265	241
840	1266	239
841	1267	237
842	1268	236
843	1269	234
844	1270	233
845	1271	231
846	1272	229
847	1273	228
848	1274	226
849	1276	225
850	1277	223
851	1278	222
852	1279	220
853	1280	218
854	1281	217
855	1282	215
856	1283	214
857	1284	212
858	1285	210
859	1286	209
860	1287	207
861	1288	206
862	1291	205
863	1292	203
864	1293	201
865	1294	200
866	1295	198
867	1296	197
868	1297	195
869	1298	194
870	1299	192
871	1300	190
872	1301	189
873	1302	187
874	1303	186
875	1306	184
876	1307	183
877	1308	181
878	1309	180
879	1310	178
880	1311	177
881	1312	175
882	1313	174
883	1314	172
884	1315	170
885	1316	169
886	1317	167
887	1318	166
888	1321	164
889	1322	163
890	1323	161
891	1324	160
892	1324	158
893	1325	157
894	1326	155
895	1327	154
896	1328	152
897	1329	151
898	1330	149
899	1331	147
900	1332	146
901	1334	144
902	1335	143
903	1336	141
904	1337	140
905	1338	138
906	1339	137
907	1340	135
908	1341	134
909	1341	132
910	1342	131
911	1343	129
912	1344	128
913	1345	126
914	1346	125
915	1347	123
916	1348	122
917	1350	120
918	1351	119
919	1352	117
920	1353	116
921	1354	114
922	1354	113
923	1355	111
924	1356	109
925	1357	108
926	1358	106
927	1359	105
928	1359	103
929	1360	102
930	1361	100
931	1363	99
932	1365	98
933	1365	96
934	1366	95
935	1367	93
936	1368	92
937	1369	90
938	1370	89
939	1371	87
940	1372	86
941	1373	84
942	1374	83
943	1374	81
944	1375	80
945	1376	78
946	1377	77
947	1379	75
948	1380	74
949	1381	72
950	1382	71
951	1383	69
952	1384	68
953	1385	66
954	1385	65
955	1386	63
956	1387	62
957	1388	60
958	1389	59
959	1390	57
960	1391	56
961	1392	54
962	1393	53
963	1394	52
964	1395	50
965	1396	49
966	1397	47
967	1398	46
968	1399	44
969	1400	43
970	1401	41
971	1402	40
972	1403	38
973	1403	37
974	1404	36
975	1405	34
976	1406	33
977	1408	31
978	1409	30
979	1410	28
980	1411	27
981	1412	25
982	1413	24
983	1414	22
984	1415	21
985	1416	20
986	1417	18
987	1417	17
988	1418	15
989	1419	14
990	1420	12
991	1421	11
992	1423	10
993	1424	8
994	1425	7
995	1426	5
996	1427	4
997	1428	2
998	1429	1
999	1430	0
